Brand,Store,Total Order Value,Avg Day Ship,Total Quantity Sold
KONA,Birmingham,435694,11,184
SPEC,Birmingham,1488013,11,651
KONA,London,524879,11,216
SPEC,London,1358343,11,578
KONA,Leeds,498341,9,208
SPEC,York,1105777,10,458
BROM,London,324635,11,133
SPEC,Leeds,1431894,10,570
GIA,York,593793,10,251
ORRO,York,186457,9,77
BROM,York,361852,10,145
GIA,Leeds,460151,11,203
SPEC,Manchester,1451471,11,614
ORRO,Manchester,118800,8,43
ORRO,Leeds,126334,12,55
ORRO,London,151734,9,61
ORRO,Birmingham,216169,11,86
GIA,Manchester,466613,11,204
GIA,London,548821,11,228
GIA,Birmingham,581733,10,269
KONA,York,430667,11,171
BROM,Birmingham,349759,12,155
BROM,Leeds,389116,10,150
KONA,Manchester,370481,11,148
BROM,Manchester,339832,11,137
